4,3.00E+01
4,4.00E+01
5,2.00E+01
5,3.00E+01
6,1.20E+02
6,1.25E+02
7,2.35E+02
7,2.45E+02
8,3.65E+02
8,3.30E+02
9,7.85E+02
9,8.20E+02
11,8.84E+03
11,3.88E+03
11,3.70E+03
13.03,1.55E+05
13.03,1.77E+04
13.03,1.90E+04
14.56,3.00E+04
14.56,8.70E+04
14.56,7.04E+04
18.22,3.10E+05
18.22,5.00E+05
18.22,5.00E+05
24,5.50E+07
24,4.20E+07
24,5.50E+07
22,4.26E+07
22,1.13E+08
24,7.58E+07
24,1.26E+08
25.5,1.53E+08
25.5,7.95E+07
35,9.95E+07
35,1.19E+08
38,5.32E+07
38,1.98E+08
41,8.02E+07
41,1.29E+08
60,1.17E+08
64,1.14E+08
64,9.70E+07
78,9.50E+07
78,7.90E+07
100,9.44E+07
100,8.95E+07
6,2.40E+02
6,2.90E+02
7,4.40E+02
7,5.90E+02
8,1.29E+03
8,6.80E+02
